"date","facility","form","location","qty","book_value"
2012-01-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2012-01-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2012-01-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2012-01-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2012-01-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376961.126,564804728.53
2012-01-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.25
2012-01-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73808.979,3102070.31
2012-01-31,"Federal Reserve Bank","Gold Coins","FRB - Display",20.196,15824.95
2012-02-29,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2012-02-29,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2012-02-29,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2012-02-29,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2012-02-29,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376961.126,564804728.53
2012-02-29,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.25
2012-02-29,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73808.979,3102070.31
2012-02-29,"Federal Reserve Bank","Gold Coins","FRB - Display",20.196,15824.95
2012-03-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2012-03-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2012-03-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2012-03-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2012-03-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376961.126,564804728.53
2012-03-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.25
2012-03-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73808.979,3102070.31
2012-03-31,"Federal Reserve Bank","Gold Coins","FRB - Display",20.196,15824.95
2012-04-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2012-04-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2012-04-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2012-04-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2012-04-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376961.126,564804728.53
2012-04-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.25
2012-04-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73808.979,3102070.31
2012-04-30,"Federal Reserve Bank","Gold Coins","FRB - Display",20.196,15824.95
2012-05-31,"Federal Reserve Bank","Gold Coins","FRB - Display",20.196,852.74
2012-05-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2012-05-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2012-05-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2012-05-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2012-05-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376961.126,564804727.98
2012-05-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2012-05-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73808.979,3116377.47
2012-06-29,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2012-06-29,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2012-06-29,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2012-06-29,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2012-06-29,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376961.126,564804727.98
2012-06-29,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2012-06-29,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73808.979,3116377.47
2012-06-29,"Federal Reserve Bank","Gold Coins","FRB - Display",20.196,852.74
2012-07-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2012-07-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2012-07-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2012-07-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2012-07-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376961.126,564804727.98
2012-07-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2012-07-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73808.979,3116377.47
2012-07-31,"Federal Reserve Bank","Gold Coins","FRB - Display",20.196,852.74
2012-08-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2012-08-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73808.979,3116377.47
2012-08-31,"Federal Reserve Bank","Gold Coins","FRB - Display",20.196,852.74
2012-08-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2012-08-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2012-08-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2012-08-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2012-08-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376961.126,564804727.98
2012-09-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2012-09-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2012-09-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2012-09-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2012-09-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2012-09-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2012-09-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2012-09-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2012-10-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2012-10-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2012-10-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2012-10-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2012-10-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2012-10-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2012-10-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2012-10-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2012-11-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2012-11-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2012-11-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2012-11-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2012-11-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2012-11-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2012-11-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2012-11-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2012-12-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2012-12-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2012-12-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2012-12-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2012-12-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2012-12-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2012-12-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2012-12-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2013-01-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2013-01-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2013-01-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2013-01-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2013-01-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2013-01-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2013-01-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2013-01-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2013-02-28,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2013-02-28,"Federal Reserve Bank","Gold Coins","FRB - Display",377.451,15936.81
2013-02-28,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2013-02-28,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2013-02-28,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2013-02-28,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2013-02-28,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2013-02-28,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2013-03-28,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2013-03-28,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
